日付け,終値,始値,高値,安値,変化率 %
2021年09月29日,"5,389.000","5,389.000","5,389.000","5,389.000",-0.31%
2021年09月28日,"5,406.000","5,406.000","5,406.000","5,406.000",-0.13%
2021年09月27日,"5,413.000","5,413.000","5,413.000","5,413.000",-0.07%
2021年09月24日,"5,417.000","5,417.000","5,417.000","5,417.000",0.11%
2021年09月22日,"5,411.000","5,411.000","5,411.000","5,411.000",0.19%
2021年09月21日,"5,401.000","5,401.000","5,401.000","5,401.000",-0.39%
2021年09月17日,"5,422.000","5,422.000","5,422.000","5,422.000",-0.02%
2021年09月16日,"5,423.000","5,423.000","5,423.000","5,423.000",0.06%
2021年09月15日,"5,420.000","5,420.000","5,420.000","5,420.000",0.06%
2021年09月14日,"5,417.000","5,417.000","5,417.000","5,417.000",0.06%
2021年09月13日,"5,414.000","5,414.000","5,414.000","5,414.000",-0.18%
2021年09月10日,"5,424.000","5,424.000","5,424.000","5,424.000",0.11%
2021年09月09日,"5,418.000","5,418.000","5,418.000","5,418.000",-0.02%
2021年09月08日,"5,419.000","5,419.000","5,419.000","5,419.000",-0.06%
2021年09月07日,"5,422.000","5,422.000","5,422.000","5,422.000",0.00%
2021年09月06日,"5,422.000","5,422.000","5,422.000","5,422.000",0.04%
2021年09月03日,"5,420.000","5,420.000","5,420.000","5,420.000",0.06%
2021年09月02日,"5,417.000","5,417.000","5,417.000","5,417.000",0.11%
2021年09月01日,"5,411.000","5,411.000","5,411.000","5,411.000",0.06%
2021年08月31日,"5,408.000","5,408.000","5,408.000","5,408.000",0.11%
2021年08月30日,"5,402.000","5,402.000","5,402.000","5,402.000",0.24%
2021年08月27日,"5,389.000","5,389.000","5,389.000","5,389.000",-0.02%
2021年08月26日,"5,390.000","5,390.000","5,390.000","5,390.000",0.07%
2021年08月25日,"5,386.000","5,386.000","5,386.000","5,386.000",0.17%
2021年08月24日,"5,377.000","5,377.000","5,377.000","5,377.000",0.19%
2021年08月23日,"5,367.000","5,367.000","5,367.000","5,367.000",0.11%
2021年08月20日,"5,361.000","5,361.000","5,361.000","5,361.000",-0.20%
2021年08月19日,"5,372.000","5,372.000","5,372.000","5,372.000",0.06%
2021年08月18日,"5,369.000","5,369.000","5,369.000","5,369.000",-0.06%
2021年08月17日,"5,372.000","5,372.000","5,372.000","5,372.000",0.00%
2021年08月16日,"5,372.000","5,372.000","5,372.000","5,372.000",0.04%
2021年08月13日,"5,370.000","5,370.000","5,370.000","5,370.000",0.06%
2021年08月12日,"5,367.000","5,367.000","5,367.000","5,367.000",-0.26%
2021年08月11日,"5,381.000","5,381.000","5,381.000","5,381.000",-0.06%
2021年08月10日,"5,384.000","5,384.000","5,384.000","5,384.000",-0.15%
2021年08月06日,"5,392.000","5,392.000","5,392.000","5,392.000",-0.02%
2021年08月05日,"5,393.000","5,393.000","5,393.000","5,393.000",-0.06%
2021年08月04日,"5,396.000","5,396.000","5,396.000","5,396.000",-0.15%
